category,continent,ISO_A,country_clean,year,indicator,gender,classif_type1,classif_type2,sector,value,HDI_2023,age_group,education_level,unit,value_usd,scale,population,indicator_abbr,indicator_group
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,45-54,"Education (Aggregate levels): Less than basic",Other,0.04,0.786,"Adults (25-54)","Less than basic",thousands,0.04,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,45-54,"Education (Aggregate levels): Basic",Other,0.116,0.786,"Adults (25-54)",Basic,thousands,0.116,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,45-54,"Education (Aggregate levels): Intermediate",Other,0.855,0.786,"Adults (25-54)",Intermediate,thousands,0.855,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,45-54,"Education (Aggregate levels): Advanced",Other,0.365,0.786,"Adults (25-54)",Advanced,thousands,0.365,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,45-54,"Education (Aggregate levels): Level not stated",Other,0.006,0.786,"Adults (25-54)","Not stated",thousands,0.006,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,55-64,"Education (Aggregate levels): Less than basic",Other,0.029,0.786,"Senior (55+)","Less than basic",thousands,0.029,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,55-64,"Education (Aggregate levels): Basic",Other,0.089,0.786,"Senior (55+)",Basic,thousands,0.089,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,55-64,"Education (Aggregate levels): Intermediate",Other,0.512,0.786,"Senior (55+)",Intermediate,thousands,0.512,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,55-64,"Education (Aggregate levels): Advanced",Other,0.209,0.786,"Senior (55+)",Advanced,thousands,0.209,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,55-64,"Education (Aggregate levels): Level not stated",Other,0.008,0.786,"Senior (55+)","Not stated",thousands,0.008,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,65+,"Education (Aggregate levels): Less than basic",Other,0.007,0.786,"Senior (55+)","Less than basic",thousands,0.007,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,65+,"Education (Aggregate levels): Basic",Other,0.016,0.786,"Senior (55+)",Basic,thousands,0.016,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,65+,"Education (Aggregate levels): Intermediate",Other,0.098,0.786,"Senior (55+)",Intermediate,thousands,0.098,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,65+,"Education (Aggregate levels): Advanced",Other,0.079,0.786,"Senior (55+)",Advanced,thousands,0.079,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,65+,"Education (Aggregate levels): Level not stated",Other,0.006,0.786,"Senior (55+)","Not stated",thousands,0.006,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15-24,"Education (Aggregate levels): Intermediate",Other,0.134,0.786,"Youth (15-24)",Intermediate,thousands,0.134,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15-24,"Education (Aggregate levels): Advanced",Other,0.085,0.786,"Youth (15-24)",Advanced,thousands,0.085,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25-34,"Education (Aggregate levels): Less than basic",Other,0.007,0.786,"Adults (25-54)","Less than basic",thousands,0.007,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25-34,"Education (Aggregate levels): Basic",Other,0.017,0.786,"Adults (25-54)",Basic,thousands,0.017,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25-34,"Education (Aggregate levels): Intermediate",Other,0.435,0.786,"Adults (25-54)",Intermediate,thousands,0.435,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25-34,"Education (Aggregate levels): Advanced",Other,0.442,0.786,"Adults (25-54)",Advanced,thousands,0.442,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25-34,"Education (Aggregate levels): Level not stated",Other,0.006,0.786,"Adults (25-54)","Not stated",thousands,0.006,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,35-44,"Education (Aggregate levels): Less than basic",Other,0.007,0.786,"Adults (25-54)","Less than basic",thousands,0.007,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,35-44,"Education (Aggregate levels): Basic",Other,0.024,0.786,"Adults (25-54)",Basic,thousands,0.024,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,35-44,"Education (Aggregate levels): Intermediate",Other,0.463,0.786,"Adults (25-54)",Intermediate,thousands,0.463,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,35-44,"Education (Aggregate levels): Advanced",Other,0.463,0.786,"Adults (25-54)",Advanced,thousands,0.463,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,35-44,"Education (Aggregate levels): Level not stated",Other,0.008,0.786,"Adults (25-54)","Not stated",thousands,0.008,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,45-54,"Education (Aggregate levels): Less than basic",Other,0.013,0.786,"Adults (25-54)","Less than basic",thousands,0.013,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,45-54,"Education (Aggregate levels): Basic",Other,0.047,0.786,"Adults (25-54)",Basic,thousands,0.047,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,45-54,"Education (Aggregate levels): Intermediate",Other,0.548,0.786,"Adults (25-54)",Intermediate,thousands,0.548,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,45-54,"Education (Aggregate levels): Advanced",Other,0.407,0.786,"Adults (25-54)",Advanced,thousands,0.407,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,45-54,"Education (Aggregate levels): Level not stated",Other,0.012,0.786,"Adults (25-54)","Not stated",thousands,0.012,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,55-64,"Education (Aggregate levels): Less than basic",Other,0.011,0.786,"Senior (55+)","Less than basic",thousands,0.011,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,55-64,"Education (Aggregate levels): Basic",Other,0.045,0.786,"Senior (55+)",Basic,thousands,0.045,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,55-64,"Education (Aggregate levels): Intermediate",Other,0.3,0.786,"Senior (55+)",Intermediate,thousands,0.3,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,55-64,"Education (Aggregate levels): Advanced",Other,0.232,0.786,"Senior (55+)",Advanced,thousands,0.232,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,55-64,"Education (Aggregate levels): Level not stated",Other,0.013,0.786,"Senior (55+)","Not stated",thousands,0.013,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,65+,"Education (Aggregate levels): Less than basic",Other,0.005,0.786,"Senior (55+)","Less than basic",thousands,0.005,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,65+,"Education (Aggregate levels): Basic",Other,0.015,0.786,"Senior (55+)",Basic,thousands,0.015,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,65+,"Education (Aggregate levels): Intermediate",Other,0.048,0.786,"Senior (55+)",Intermediate,thousands,0.048,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,65+,"Education (Aggregate levels): Advanced",Other,0.05,0.786,"Senior (55+)",Advanced,thousands,0.05,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-24,"Education (ISCED-11): X. No schooling",Other,0.008,0.786,"Youth (15-24)","Less than basic",thousands,0.008,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-24,"Education (ISCED-11): 1. Primary education",Other,0.005,0.786,"Youth (15-24)",Basic,thousands,0.005,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-24,"Education (ISCED-11): 2. Lower secondary education",Other,0.035,0.786,"Youth (15-24)",Intermediate,thousands,0.035,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-24,"Education (ISCED-11): 3. Upper secondary education",Other,0.19,0.786,"Youth (15-24)",Intermediate,thousands,0.19,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-24,"Education (ISCED-11): 4. Post-secondary non-tertiary education",Other,0.014,0.786,"Youth (15-24)",Advanced,thousands,0.014,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-24,"Education (ISCED-11): 5. Short-cycle tertiary education",Other,0.054,0.786,"Youth (15-24)",Advanced,thousands,0.054,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-24,"Education (ISCED-11): 6. Bachelor's or equivalent level",Other,0.016,0.786,"Youth (15-24)",Advanced,thousands,0.016,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25-34,"Education (ISCED-11): X. No schooling",Other,0.044,0.786,"Adults (25-54)","Less than basic",thousands,0.044,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25-34,"Education (ISCED-11): 0. Early childhood education",Other,0.043,0.786,"Adults (25-54)","Less than basic",thousands,0.043,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25-34,"Education (ISCED-11): 1. Primary education",Other,0.03,0.786,"Adults (25-54)",Basic,thousands,0.03,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25-34,"Education (ISCED-11): 2. Lower secondary education",Other,0.102,0.786,"Adults (25-54)",Intermediate,thousands,0.102,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25-34,"Education (ISCED-11): 3. Upper secondary education",Other,0.75,0.786,"Adults (25-54)",Intermediate,thousands,0.75,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25-34,"Education (ISCED-11): 4. Post-secondary non-tertiary education",Other,0.075,0.786,"Adults (25-54)",Advanced,thousands,0.075,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25-34,"Education (ISCED-11): 5. Short-cycle tertiary education",Other,0.195,0.786,"Adults (25-54)",Advanced,thousands,0.195,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25-34,"Education (ISCED-11): 6. Bachelor's or equivalent level",Other,0.134,0.786,"Adults (25-54)",Advanced,thousands,0.134,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25-34,"Education (ISCED-11): 7. Master's or equivalent level",Other,0.018,0.786,"Adults (25-54)",Advanced,thousands,0.018,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25-34,"Education (ISCED-11): 9. Not elsewhere classified",Other,0.005,0.786,"Adults (25-54)","Not stated",thousands,0.005,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,35-44,"Education (ISCED-11): X. No schooling",Other,0.06,0.786,"Adults (25-54)","Less than basic",thousands,0.06,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,35-44,"Education (ISCED-11): 0. Early childhood education",Other,0.035,0.786,"Adults (25-54)","Less than basic",thousands,0.035,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,35-44,"Education (ISCED-11): 1. Primary education",Other,0.023,0.786,"Adults (25-54)",Basic,thousands,0.023,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,35-44,"Education (ISCED-11): 2. Lower secondary education",Other,0.11,0.786,"Adults (25-54)",Intermediate,thousands,0.11,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,35-44,"Education (ISCED-11): 3. Upper secondary education",Other,0.818,0.786,"Adults (25-54)",Intermediate,thousands,0.818,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,35-44,"Education (ISCED-11): 4. Post-secondary non-tertiary education",Other,0.09,0.786,"Adults (25-54)",Advanced,thousands,0.09,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,35-44,"Education (ISCED-11): 5. Short-cycle tertiary education",Other,0.195,0.786,"Adults (25-54)",Advanced,thousands,0.195,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,35-44,"Education (ISCED-11): 6. Bachelor's or equivalent level",Other,0.168,0.786,"Adults (25-54)",Advanced,thousands,0.168,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,35-44,"Education (ISCED-11): 7. Master's or equivalent level",Other,0.026,0.786,"Adults (25-54)",Advanced,thousands,0.026,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,35-44,"Education (ISCED-11): 9. Not elsewhere classified",Other,0.007,0.786,"Adults (25-54)","Not stated",thousands,0.007,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,45-54,"Education (ISCED-11): X. No schooling",Other,0.019,0.786,"Adults (25-54)","Less than basic",thousands,0.019,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,45-54,"Education (ISCED-11): 0. Early childhood education",Other,0.021,0.786,"Adults (25-54)","Less than basic",thousands,0.021,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,45-54,"Education (ISCED-11): 1. Primary education",Other,0.019,0.786,"Adults (25-54)",Basic,thousands,0.019,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,45-54,"Education (ISCED-11): 2. Lower secondary education",Other,0.097,0.786,"Adults (25-54)",Intermediate,thousands,0.097,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,45-54,"Education (ISCED-11): 3. Upper secondary education",Other,0.753,0.786,"Adults (25-54)",Intermediate,thousands,0.753,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,45-54,"Education (ISCED-11): 4. Post-secondary non-tertiary education",Other,0.102,0.786,"Adults (25-54)",Advanced,thousands,0.102,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,45-54,"Education (ISCED-11): 5. Short-cycle tertiary education",Other,0.195,0.786,"Adults (25-54)",Advanced,thousands,0.195,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,45-54,"Education (ISCED-11): 6. Bachelor's or equivalent level",Other,0.127,0.786,"Adults (25-54)",Advanced,thousands,0.127,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,45-54,"Education (ISCED-11): 7. Master's or equivalent level",Other,0.038,0.786,"Adults (25-54)",Advanced,thousands,0.038,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,45-54,"Education (ISCED-11): 8. Doctoral or equivalent level",Other,0.005,0.786,"Adults (25-54)",Advanced,thousands,0.005,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,45-54,"Education (ISCED-11): 9. Not elsewhere classified",Other,0.006,0.786,"Adults (25-54)","Not stated",thousands,0.006,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,55-64,"Education (ISCED-11): X. No schooling",Other,0.013,0.786,"Senior (55+)","Less than basic",thousands,0.013,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,55-64,"Education (ISCED-11): 0. Early childhood education",Other,0.016,0.786,"Senior (55+)","Less than basic",thousands,0.016,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,55-64,"Education (ISCED-11): 1. Primary education",Other,0.02,0.786,"Senior (55+)",Basic,thousands,0.02,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,55-64,"Education (ISCED-11): 2. Lower secondary education",Other,0.069,0.786,"Senior (55+)",Intermediate,thousands,0.069,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,55-64,"Education (ISCED-11): 3. Upper secondary education",Other,0.447,0.786,"Senior (55+)",Intermediate,thousands,0.447,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,55-64,"Education (ISCED-11): 4. Post-secondary non-tertiary education",Other,0.065,0.786,"Senior (55+)",Advanced,thousands,0.065,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,55-64,"Education (ISCED-11): 5. Short-cycle tertiary education",Other,0.098,0.786,"Senior (55+)",Advanced,thousands,0.098,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,55-64,"Education (ISCED-11): 6. Bachelor's or equivalent level",Other,0.081,0.786,"Senior (55+)",Advanced,thousands,0.081,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,55-64,"Education (ISCED-11): 7. Master's or equivalent level",Other,0.028,0.786,"Senior (55+)",Advanced,thousands,0.028,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,55-64,"Education (ISCED-11): 9. Not elsewhere classified",Other,0.008,0.786,"Senior (55+)","Not stated",thousands,0.008,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,65+,"Education (ISCED-11): 2. Lower secondary education",Other,0.012,0.786,"Senior (55+)",Intermediate,thousands,0.012,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,65+,"Education (ISCED-11): 3. Upper secondary education",Other,0.08,0.786,"Senior (55+)",Intermediate,thousands,0.08,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,65+,"Education (ISCED-11): 4. Post-secondary non-tertiary education",Other,0.018,0.786,"Senior (55+)",Advanced,thousands,0.018,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,65+,"Education (ISCED-11): 5. Short-cycle tertiary education",Other,0.022,0.786,"Senior (55+)",Advanced,thousands,0.022,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,65+,"Education (ISCED-11): 6. Bachelor's or equivalent level",Other,0.042,0.786,"Senior (55+)",Advanced,thousands,0.042,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,65+,"Education (ISCED-11): 7. Master's or equivalent level",Other,0.009,0.786,"Senior (55+)",Advanced,thousands,0.009,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,65+,"Education (ISCED-11): 8. Doctoral or equivalent level",Other,0.006,0.786,"Senior (55+)",Advanced,thousands,0.006,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,65+,"Education (ISCED-11): 9. Not elsewhere classified",Other,0.006,0.786,"Senior (55+)","Not stated",thousands,0.006,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15-24,"Education (ISCED-11): 3. Upper secondary education",Other,0.127,0.786,"Youth (15-24)",Intermediate,thousands,0.127,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15-24,"Education (ISCED-11): 4. Post-secondary non-tertiary education",Other,0.007,0.786,"Youth (15-24)",Advanced,thousands,0.007,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15-24,"Education (ISCED-11): 5. Short-cycle tertiary education",Other,0.046,0.786,"Youth (15-24)",Advanced,thousands,0.046,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15-24,"Education (ISCED-11): 6. Bachelor's or equivalent level",Other,0.038,0.786,"Youth (15-24)",Advanced,thousands,0.038,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25-34,"Education (ISCED-11): X. No schooling",Other,0.006,0.786,"Adults (25-54)","Less than basic",thousands,0.006,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25-34,"Education (ISCED-11): 2. Lower secondary education",Other,0.016,0.786,"Adults (25-54)",Intermediate,thousands,0.016,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25-34,"Education (ISCED-11): 3. Upper secondary education",Other,0.402,0.786,"Adults (25-54)",Intermediate,thousands,0.402,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25-34,"Education (ISCED-11): 4. Post-secondary non-tertiary education",Other,0.033,0.786,"Adults (25-54)",Advanced,thousands,0.033,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25-34,"Education (ISCED-11): 5. Short-cycle tertiary education",Other,0.233,0.786,"Adults (25-54)",Advanced,thousands,0.233,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25-34,"Education (ISCED-11): 6. Bachelor's or equivalent level",Other,0.177,0.786,"Adults (25-54)",Advanced,thousands,0.177,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25-34,"Education (ISCED-11): 7. Master's or equivalent level",Other,0.031,0.786,"Adults (25-54)",Advanced,thousands,0.031,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25-34,"Education (ISCED-11): 9. Not elsewhere classified",Other,0.006,0.786,"Adults (25-54)","Not stated",thousands,0.006,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,35-44,"Education (ISCED-11): 2. Lower secondary education",Other,0.021,0.786,"Adults (25-54)",Intermediate,thousands,0.021,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,35-44,"Education (ISCED-11): 3. Upper secondary education",Other,0.437,0.786,"Adults (25-54)",Intermediate,thousands,0.437,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,35-44,"Education (ISCED-11): 4. Post-secondary non-tertiary education",Other,0.026,0.786,"Adults (25-54)",Advanced,thousands,0.026,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,35-44,"Education (ISCED-11): 5. Short-cycle tertiary education",Other,0.232,0.786,"Adults (25-54)",Advanced,thousands,0.232,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,35-44,"Education (ISCED-11): 6. Bachelor's or equivalent level",Other,0.183,0.786,"Adults (25-54)",Advanced,thousands,0.183,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,35-44,"Education (ISCED-11): 7. Master's or equivalent level",Other,0.045,0.786,"Adults (25-54)",Advanced,thousands,0.045,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,35-44,"Education (ISCED-11): 9. Not elsewhere classified",Other,0.008,0.786,"Adults (25-54)","Not stated",thousands,0.008,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,45-54,"Education (ISCED-11): X. No schooling",Other,0.008,0.786,"Adults (25-54)","Less than basic",thousands,0.008,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,45-54,"Education (ISCED-11): 0. Early childhood education",Other,0.005,0.786,"Adults (25-54)","Less than basic",thousands,0.005,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,45-54,"Education (ISCED-11): 2. Lower secondary education",Other,0.044,0.786,"Adults (25-54)",Intermediate,thousands,0.044,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,45-54,"Education (ISCED-11): 3. Upper secondary education",Other,0.517,0.786,"Adults (25-54)",Intermediate,thousands,0.517,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,45-54,"Education (ISCED-11): 4. Post-secondary non-tertiary education",Other,0.031,0.786,"Adults (25-54)",Advanced,thousands,0.031,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,45-54,"Education (ISCED-11): 5. Short-cycle tertiary education",Other,0.211,0.786,"Adults (25-54)",Advanced,thousands,0.211,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,45-54,"Education (ISCED-11): 6. Bachelor's or equivalent level",Other,0.149,0.786,"Adults (25-54)",Advanced,thousands,0.149,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,45-54,"Education (ISCED-11): 7. Master's or equivalent level",Other,0.042,0.786,"Adults (25-54)",Advanced,thousands,0.042,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,45-54,"Education (ISCED-11): 8. Doctoral or equivalent level",Other,0.005,0.786,"Adults (25-54)",Advanced,thousands,0.005,absolute,17792,LF,"Labour Force"
